Date,Price,Open,High,Low,Vol.,Change %
24-04-2025,141.29,140.7,141.85,140.67,16.46M,0.09%
23-04-2025,141.16,139.39,141.5,137.32,37.85M,2.17%
22-04-2025,138.16,142,142.84,137.7,58.43M,-0.73%
21-04-2025,139.18,137.65,140.3,137.05,26.50M,1.49%
17-04-2025,137.14,134.4,137.96,133.7,62.28M,0.12%
16-04-2025,136.97,136.41,137.6,134.62,42.68M,0.41%
15-04-2025,136.41,135.6,137,134.84,38.97M,2.24%
11-04-2025,133.42,134.67,134.7,130.49,73.71M,4.91%
09-04-2025,127.18,130,130,125.3,73.40M,-2.38%
08-04-2025,130.28,134.89,136.2,128.02,69.00M,0.62%
07-04-2025,129.48,128,130.35,125.33,121.81M,-7.77%
04-04-2025,140.39,152.62,152.99,140,80.85M,-8.61%
03-04-2025,153.62,153,155.97,152.6,15.12M,-0.69%
02-04-2025,154.69,154,156.25,152.27,24.98M,1.03%
01-04-2025,153.12,152.07,155.34,152.07,29.14M,-0.73%
28-03-2025,154.24,155.38,156.91,153.37,24.59M,-0.76%
27-03-2025,155.42,154.8,156.1,154.2,25.91M,-0.25%
26-03-2025,155.81,156.2,157.54,155.01,23.18M,-0.59%
25-03-2025,156.73,159,159,156.05,28.47M,-1.07%
24-03-2025,158.42,158,159,157.11,30.91M,0.72%
21-03-2025,157.28,159.03,159.75,156.82,49.18M,-1.11%
20-03-2025,159.04,160,160.1,156.65,39.89M,0.28%
19-03-2025,158.6,156.8,159.2,156.5,66.16M,2.55%
18-03-2025,154.66,153,154.83,152.22,38.13M,1.88%
17-03-2025,151.81,151.99,152.64,150.9,35.88M,0.62%
13-03-2025,150.88,152,153.56,150.02,48.29M,0.39%
12-03-2025,150.3,151,152.28,147.7,26.38M,-0.30%
11-03-2025,150.75,148.1,151.7,148,35.92M,-0.20%
10-03-2025,151.05,151.56,154.24,150.41,54.45M,-0.34%
07-03-2025,151.56,149.74,152.45,149.27,81.82M,0.74%
06-03-2025,150.44,146.79,152.2,146.2,79.12M,2.97%
05-03-2025,146.1,139,146.49,139,62.11M,4.85%
04-03-2025,139.34,136.15,140.94,135.81,28.63M,0.56%
03-03-2025,138.57,137,139.05,134.31,31.15M,1.00%
28-02-2025,137.2,137.8,137.8,134.06,45.54M,-1.07%
27-02-2025,138.69,137.21,138.99,135.88,30.75M,1.18%
25-02-2025,137.07,138.49,139.35,136.7,23.58M,-0.42%
24-02-2025,137.65,138.81,140.66,136.66,25.19M,-2.21%
21-02-2025,140.76,137.91,141.6,137.15,41.99M,1.97%
20-02-2025,138.04,135.27,138.36,135,24.14M,1.68%
19-02-2025,135.76,134.5,136.88,133.03,18.45M,0.91%
18-02-2025,134.54,134.29,134.9,131.75,23.96M,0.19%
17-02-2025,134.29,132.91,134.8,130.73,21.19M,-0.13%
14-02-2025,134.47,136.25,139.25,133.33,41.47M,-1.31%
13-02-2025,136.25,132.28,137.69,131.86,52.04M,3.00%
12-02-2025,132.28,129.35,133.29,128.31,37.93M,1.67%
11-02-2025,130.11,133,134.34,129.7,23.64M,-2.93%
10-02-2025,134.04,138.1,138.1,133,26.12M,-3.09%
07-02-2025,138.31,133.3,138.75,132.56,52.95M,4.35%
06-02-2025,132.54,134.5,134.87,132.02,22.41M,-1.38%
05-02-2025,134.4,133.15,135.39,133.08,16.96M,0.73%
04-02-2025,133.42,132.8,134.34,131.87,25.03M,1.21%
03-02-2025,131.82,131.29,132.51,127.81,27.77M,-0.86%
01-02-2025,132.97,135,135.5,130.25,21.17M,-1.23%
31-01-2025,134.62,131.12,135,129.93,26.69M,2.67%
30-01-2025,131.12,130.8,132.15,130.1,25.26M,0.24%
29-01-2025,130.8,129,131.34,128.55,16.67M,1.69%
28-01-2025,128.62,126.37,130.49,124.74,40.37M,1.78%
27-01-2025,126.37,129.02,129.45,125.74,24.65M,-2.60%
24-01-2025,129.74,130.5,133.2,129.31,37.09M,-0.48%
23-01-2025,130.37,127.85,130.75,127.7,20.72M,1.12%
22-01-2025,128.92,130.25,130.35,127.12,27.51M,-0.60%
